name,ingredients_name,category
Lebanese Style Shish Tawook Recipe - Grilled Chicken Skewers,"Boneless chicken, Hung Curd (Greek Yogurt), Paprika powder, Garlic, Ginger, Dried oregano, Dried Thyme Leaves, Extra Virgin Olive Oil, Lemon juice, Tomato Ketchup, Black pepper powder, Salt, Green Bell Pepper (Capsicum), Onion",Other
Vepampoo Kara Kuzhambu Recipe (Dried Neem Flower Gravy),"Pearl onions (Sambar Onions), Garlic, Turmeric powder (Haldi), Sambar Powder, Coriander Powder (Dhania), Tamarind, Water, Salt, Sesame (Gingelly) Oil, Asafoetida (hing), Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Chana dal (Bengal Gram Dal), Dry Red Chillies, Sesame (Gingelly) Oil, Neem leaves",Other
Gorikayi Palya Recipe - Karnataka Style Gawar Phali Sabzi,"Gawar Phali (Kothavarangai / Cluster beans), Coconut Oil, Mustard seeds (Rai/ Kadugu), Curry leaves, Dry Red Chillies, Fresh coconut, Sesame seeds (Til seeds), Garlic, Dry Red Chillies, Tamarind, Jaggery, Salt",Other
Chicken Lasagna Recipe,"Boneless chicken, Black pepper powder, Paprika powder, Lemon juice, Salt, Lasagna sheets, Mozzarella cheese, Parmesan cheese, Tomato Basil Pasta Sauce, Parsley leaves",Italian
Mushroom Cutlet Vegetarian Sizzler Recipe,"Mixed vegetables, Cabbage (Patta Gobi/ Muttaikose), Salt, Black pepper powder, Oil, Cooked rice, Garlic, Black pepper powder, Chilli vinegar, Soy sauce, Salt, Oil, Potatoes (Aloo), Button mushrooms, Salt, Red Chilli powder, Whole Wheat Bread crumbs, Oil, Oil, Black pepper powder, Garlic, Red Chilli sauce, Chilli vinegar, Soy sauce, Tomato Ketchup, Water",Other
Ringna No Olo Recipe - A Kathiyawadi Gujarati Style Roasted Eggplant,"Brinjal (Baingan / Eggplant), Onion, Ginger, Green Chilli, Garlic, Tomato, Turmeric powder (Haldi), Kashmiri Red Chilli Powder, Coriander (Dhania) Powder, Cumin powder (Jeera), Bay leaves (tej patta), Cinnamon Stick (Dalchini), Ghee, Salt, Curd (Dahi / Yogurt), Coriander (Dhania) Powder",Other
Sindhi Sai Bhaji Recipe - Wholesome Sindhi Dal With Vegetables,"Spinach Leaves (Palak), Methi Leaves (Fenugreek Leaves), Dill leaves, Chana dal (Bengal Gram Dal), Green Moong Dal (Split), Carrots (Gajjar), Bottle gourd (lauki), Green beans (French Beans), Onions, Tomato, Ginger, Ghee, Salt, Turmeric powder (Haldi), Coriander Powder (Dhania), Garlic, Red Chilli powder, Garlic, Red Chilli powder, Ghee, Ghee",Indian
Southern Style Fried Chicken Recipe,"Chicken Wings, Buttermilk, Black pepper powder, Paprika powder, Salt, All Purpose Flour (Maida), Baking powder, Garlic powder, Red Chilli powder, Black pepper powder, Rosemary, Salt, Whole Eggs, Salt, All Purpose Flour (Maida), Oil",Other
Cheesy Baked Ziti Pasta Recipe with Roasted Mushroom & Corn ,"Ziti Pasta, Extra Virgin Olive Oil, Button mushrooms, Del Monte Whole Corn Kernels, Salt, Extra Virgin Olive Oil, Basil leaves, Garlic, Onion, Red Chilli flakes, Salt, Sugar, Black pepper powder, Rosemary, Homemade tomato puree, Mozzarella cheese",Italian
Green Beans Paruppu Usili Recipe - Iyengar Style,"Green beans (French Beans), Gingelly oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Curry leaves, Asafoetida (hing), Arhar dal (Split Toor Dal), Dry Red Chillies, Salt, Turmeric powder (Haldi)",Other
Corn Pulao Recipe,"Basmati rice, Water, Cardamom (Elaichi) Pods/Seeds, Bay leaves (tej patta), Whole Black Peppercorns, Ghee, Oil, Cumin seeds (Jeera), Onion, Ginger, Garlic, Sweet corn, Baby corn, Coriander Powder (Dhania), Cumin powder (Jeera), Turmeric powder (Haldi), Red Chilli powder, Garam masala powder, Homemade tomato puree, Coriander (Dhania) Leaves, Salt, Fresh cream",Other
Moroccan Spiced Cauliflower And Almond Soup Recipe,"Cauliflower (gobi), Whole Almonds (Badam), Onions, Garlic, Coriander Powder (Dhania), Cumin powder (Jeera), Cinnamon Powder (Dalchini), Pickled Jalapenos, Extra Virgin Olive Oil, Salt, Whole Almonds (Badam), Spring Onion Greens, Green Chilli Paste",Other
Himachali Pahadi Mutton Recipe,"Mutton, Bay leaf (tej patta), Black cardamom (Badi Elaichi), Cardamom (Elaichi) Pods/Seeds, Cloves (Laung), Ginger, Cloves (Laung), Onions, Tomatoes, Curd (Dahi / Yogurt), Green Chillies, Turmeric powder (Haldi), Garam masala powder, Coriander Powder (Dhania), Salt, Oil",Other
Fettuccine Pasta Recipe With Roasted Red Bell Pepper Sauce,"Whole Wheat Flour, Water, Salt, Red Bell pepper (Capsicum), Garlic, Onion, Homemade tomato puree, Red Chilli flakes, Sugar, Cumin powder (Jeera), Fresh cream, Salt, Basil leaves, Garlic, Carrot (Gajjar), Basil leaves, Parmesan cheese",Italian
Rajasthani Kadhi Recipe,"Ghee, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Asafoetida (hing), Dry Red Chillies, Curry leaves, Gram flour (besan), Curd (Dahi / Yogurt), Turmeric powder (Haldi), Red Chilli powder, Water, Garlic, Green Chillies, Salt",Other
Mexican Style Scrambled Egg Enchiladas Recipe ,"Makki Ka Atta (Yellow Corn Meal Flour), Whole Wheat Flour, Salt, Whole Eggs, Onion, Garlic, Salt, Black pepper powder, Onion, Red Bell pepper (Capsicum), Green bell peppers, Red Chilli powder, Cumin powder (Jeera), Garlic, Dried oregano, Salt, Tomatoes, Onion, Garlic, Sugar, Red Chilli flakes, Dried oregano, Salt, Hung Curd (Greek Yogurt), Lemon juice",Mexican
Shahi Vegetable Pulao Recipe,"Basmati rice, Cumin seeds (Jeera), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Saffron strands, Milk, Green Chillies, Salt, Ghee, Mint Leaves (Pudina), Carrots (Gajjar), Cauliflower (gobi), Cashew nuts, Sultana Raisins, Salt",Other
Hunan stir fried Chinese Leaf cabbage with Tofu & Chilies Recipe,"Chinese cabbage, Red Bell pepper (Capsicum), Onion, Tofu, Garlic, Onions, Dry Red Chilli, Soy sauce, Homemade Hoisin Sauce, Red Chilli sauce, Honey, Salt, Black pepper powder",Other
Pudina Rice Recipe,"Rice, Mint Leaves (Pudina), Green Chillies, Tamarind Paste, Onion, Oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Salt",Other
Three Bean Salad Recipe,"Rajma (Large Kidney Beans), Kabuli Chana (White Chickpeas), Black Eyed Beans (Lobia), Red onion, Tomato, Cucumber, Green Bell Pepper (Capsicum), Coriander (Dhania) Leaves, Red Chilli powder, Extra Virgin Olive Oil, Lemon juice, Cumin powder (Jeera), Chaat Masala Powder, Salt",Other
Pak Mutton Biryani Recipe,"Mutton, Basmati rice, Onion, Onions, Biryani Masala, Red Chilli powder, Cumin seeds (Jeera), Mixed Spices, Coriander (Dhania) Leaves, Green Chillies, Lemon, Curd (Dahi / Yogurt), Ginger Garlic Paste, Saffron strands, Ghee, Oil, Salt",Indian
Milagu Jeera Curry Leaf Sadam Recipe,"Cooked rice, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Raw Peanuts (Moongphali), Salt, Whole Black Peppercorns, Cumin seeds (Jeera), Curry leaves, Sesame (Gingelly) Oil",Indian
Parsi Style Paneer Charvela Eda Sathe Recipe-Scrambled Eggs with Paneer Recipe,"Paneer (Homemade Cottage Cheese), Whole Eggs, Onion, Green Chillies, Garlic, Whole Black Peppercorns, Salt, Oil, Coriander (Dhania) Leaves",Other
Mysore Style Avarekalu Rasam Recipe,"Avarekalu / Lilva Beans, Tamarind Water, Tomatoes, Fresh coconut, Jaggery, Turmeric powder (Haldi), Salt, Coriander (Dhania) Seeds, Dry Red Chillies, Byadagi Dried Chillies, Cumin seeds (Jeera), Whole Black Peppercorns, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Mustard seeds (Rai/ Kadugu), Curry leaves, Ghee",Other
Viennese Bread | Vienna Bread Recipe,"Lukewarm Water, Active dry yeast, Sugar, Milk Powder, Vivatta Maida, Salt, Butter (Unsalted), Egg white",Other
Thayir Semiya Recipe (Curd Semiya),"Semiya (Vermicelli), Curd (Dahi / Yogurt), Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Asafoetida (hing), Curry leaves, Oil, Raw Peanuts (Moongphali), Curry leaves, Oil, Cashew nuts",Other
Minced Meat And Egg Croquettes Recipe,"Mutton, Whole Eggs, Onion, Ginger Garlic Paste, Red Chilli powder, Turmeric powder (Haldi), Cumin powder (Jeera), Coriander Powder (Dhania), Salt, Oil, Water, All Purpose Flour (Maida), Whole Eggs, Whole Wheat Bread crumbs, Oil",Other
Mullangi Poriyal Recipe,"Mooli/ Mullangi (Radish), Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Salt, Sesame (Gingelly) Oil, Chana dal (Bengal Gram Dal), Black Urad Dal (Split), Cumin seeds (Jeera), Curry leaves",Other
Healthy Fruit Pizza Recipe For Breakfast,"Instant Oats (Oatmeal), Whole Almonds (Badam), Ripe Bananas, Rice flour, Date syrup, Salt, Hung Curd (Greek Yogurt), Strawberries, Kiwi, Orange, Blueberries, Mint Leaves (Pudina), Honey",Italian
Malvani Fish Curry Recipe - Delicious And Spicy Fish Curry,"Ginger, Garlic, Onion, Tomato, Coconut milk, Tamarind Water, Curry leaves, Mustard seeds (Rai/ Kadugu), Mustard oil, Salt, King fish, Red Chilli powder, Turmeric powder (Haldi), Cumin powder (Jeera), Coriander Powder (Dhania), Lemon juice, Salt, Coriander (Dhania) Seeds, Cumin seeds (Jeera), Fennel seeds (Saunf), Cinnamon Stick (Dalchini), Cloves (Laung), Bay leaf (tej patta), Nutmeg, Whole Black Peppercorns, Dry Red Chillies, Star anise",Indian
Roasted Pumpkin Spinach and Walnut Spaghetti Recipe,"Durum Wheat Spaghetti Pasta, Garlic, Extra Virgin Olive Oil, Red Chilli flakes, Mixed Herbs (Dried), Kaddu (Parangikai/ Pumpkin), Spinach Leaves (Palak), Walnuts, Salt",Other
Moong Dal Tikki Recipe,"Yellow Moong Dal (Split), Green Chillies, Ginger, Onion, Green Bell Pepper (Capsicum), Green peas (Matar), Paneer (Homemade Cottage Cheese), Mint Leaves (Pudina), Corn flour, Cumin powder (Jeera), Amchur (Dry Mango Powder), Black pepper powder, Chaat Masala Powder, Salt, Oil",Indian
Carrots & Sweet Potato Stuffed Paratha Recipe,"Whole Wheat Flour, Salt, Oil, Carrots (Gajjar), Sweet Potatoes, Cumin powder (Jeera), Green Chillies, Coriander (Dhania) Leaves, Salt",Other
No Onion No Garlic Aloo Makhana Sabzi Recipe,"Baby Potatoes, Phool Makhana (Lotus Seeds), Cumin seeds (Jeera), Fennel seeds (Saunf), Green Chillies, Red Chilli powder, Turmeric powder (Haldi), Coriander Powder (Dhania), Salt, Oil",Other
Whole Wheat Crepe Recipe With Herbed Vegetables,"Whole Wheat Flour, Salt, Italian seasoning, Cheese spread, Broccoli, Onion, Red Bell pepper (Capsicum), Salt, Parsley leaves",Other
Sindhi Style Wadi Aloo Ki Sabzi Recipe - Spicy Wadi And Potato Curry,"Oil, Badi (wadi), Onions, Tomatoes, Ginger, Potato (Aloo), Brinjal (Baingan / Eggplant), Red Chilli powder, Cumin powder (Jeera), Garam masala powder, Coriander Powder (Dhania), Salt",Indian
Healthy Kale Pesto Pasta Recipe,"Kale, Basil leaves, Avocado, Walnuts, Lemon juice, Black pepper powder, Extra Virgin Olive Oil, Pasta  Fusilli, Green Chilli Paste, Garlic, Parmesan cheese, Mozzarella cheese, Salt",Italian
Bhindi And Paneer Masala Recipe,"Bhindi (Lady Finger/Okra), Paneer (Homemade Cottage Cheese), Onion, Bay leaf (tej patta), Red Chilli powder, Turmeric powder (Haldi), Coriander Powder (Dhania), Sugar, Salt, Oil, Tomatoes, Cloves (Laung), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Garlic, Ginger, Hung Curd (Greek Yogurt)",Indian
Oranges With Cottage Cheese Recipe -Sunshine in a Bowl,"Paneer (Homemade Cottage Cheese), Oranges, Sunflower seeds",Other
Bean Spinach And Corn Quesadilla Recipe,"Whole Wheat Flour Tortilla, Refried beans, Spinach, Sweet corn, Yellow Bell Pepper (Capsicum), Cheddar cheese, Red Chilli powder, Cumin powder (Jeera), Mixed Herbs (Dried), Coriander (Dhania) Leaves, Salt, Butter (Unsalted)",Mexican
Phalguni Dal Recipe - Bengali Style Red Lentils With Fresh Green Peas,"Masoor Dal (Whole), Green peas (Matar), Onion, Tomato, Ginger, Garlic, Green Chillies, Turmeric powder (Haldi), Salt, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Cumin seeds (Jeera), Fennel seeds (Saunf), Kalonji (Onion Nigella Seeds), Garam masala powder, Mustard oil, Asafoetida (hing)",Indian
Achari Amla Mirchi Ki Sabzi Recipe - Gooseberry & Green Chilli Sabzi,"Amla (Nellikai/ Gooseberry), Green Chilli, Achari masala, Red Chilli powder, Turmeric powder (Haldi), Jaggery, Salt, Fennel seeds (Saunf), Methi Seeds (Fenugreek Seeds), Mustard seeds (Rai/ Kadugu), Oil, Asafoetida (hing)",Other
Fig Honey & Paprika Preserve Recipe,"Fresh Figs, Lemon juice, Lemon zest, Red Chilli flakes, Honey, Brown Sugar (Demerara Sugar)",Other
Cheese Masala Omelette Recipe,"Whole Eggs, Onion, Tomato, Cheese, Green Chillies, Coriander (Dhania) Leaves, Salt, Oil",Indian
Kongunadu Style Vetrilai Sadam Recipe - Betel Leaves Rice,"Betel leaves (paan), Cooked rice, Garlic, Oil, Mustard seeds (Rai/ Kadugu), Chana dal (Bengal Gram Dal), White Urad Dal (Split), Curry leaves, Roasted Peanuts (Moongphali), Cashew nuts, Fresh Red chillies, Salt, Cumin seeds (Jeera), Fennel seeds (Saunf), Whole Black Peppercorns, Sesame seeds (Til seeds), Curry leaves",Other
Raw Papaya Red Bell Peppers Stuffed Paratha,"Oil, Raw papaya, Red Bell pepper (Capsicum), Ginger, Onion, Green Chillies, Amchur (Dry Mango Powder), Garam masala powder, Red Chilli powder, Garam masala powder, Salt, Mint Leaves (Pudina), Ghee, Whole Wheat Flour, Oil, Salt",Other
Rajma and Horse Gram Stuffed Paratha Recipe,"Rajma (Large Kidney Beans), Horse Gram Dal (Kollu/ Kulith), Onion, Green Chilli, Cumin seeds (Jeera), Coriander Powder (Dhania), Red Chilli powder, Amchur (Dry Mango Powder), Garam masala powder, Black pepper powder, Salt, Whole Wheat Flour, Oil, Water",Other
Turkish Pide Recipe - Crusty Bread with Sesame Seeds ,"Whole Wheat Flour, All Purpose Flour (Maida), Active dry yeast, Caster Sugar, Salt, Extra Virgin Olive Oil, Black sesame seeds, Sesame seeds (Til seeds)",Other
Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry,"Jackfruit Seeds (Kathal), Kala Chana (Brown Chickpeas), Mustard seeds (Rai/ Kadugu), Cumin seeds (Jeera), Curry leaves, Tomato, Tamarind Water, Turmeric powder (Haldi), Dry Red Chillies, Cumin seeds (Jeera), Coriander (Dhania) Seeds, Cloves (Laung), Cinnamon Stick (Dalchini), Fresh coconut, Ginger, Garlic",Asian
Konkani Style Kotte Saaru/Halasina Bijada Saru Recipe-Jackfruit Seed Rasam,"Jackfruit Seeds (Kathal), Green Chillies, Garlic, Tamarind, Rasam Powder, Onion, Garlic, Turmeric powder (Haldi), Oil, Turmeric powder (Haldi), Curry leaves",Other
तुरई चना सब्ज़ी - Ridge Gourd With Black Gram Dal (Recipe In Hindi),"काला चना, तुरई, सरसो का तेल, मेथी के दाने, हींग, प्याज, लहसुन, हरी मिर्च, हल्दी पाउडर, धनिया पाउडर , जीरा पाउडर , लाल मिर्च पाउडर , गरम मसाला पाउडर , अमचूर पाउडर, नमक, हरा धनिया",Indian
Buckwheat Vegetable Khichdi Recipe,"Buckwheat Flour (Kuttu Ka Atta), Yellow Moong Dal (Split), Carrots (Gajjar), Green beans (French Beans), Potatoes (Aloo), Green peas (Matar), Ajwain (Carom seeds), Green Chillies, Cloves (Laung), Whole Black Peppercorns, Salt, Water, Oil, Ghee, Onion, Garlic",Other
Milk Braid Rolls Recipe,"Vivatta Maida, Milk, Active dry yeast, Whole Egg, Butter (Unsalted), Caster Sugar, Salt, Sugar, Vanilla Extract, Sesame seeds (Til seeds)",Other
Peanut Butter Recipe,"Kala Chana (Brown Chickpeas), Onion, Tomatoes, Ginger, Green Chillies, Cinnamon Stick (Dalchini), Black Cardamom (Badi Elaichi), Coriander Powder (Dhania), Red Chilli powder, Chana Masala Powder, Anardana Powder (Pomegranate Seed Powder), Coriander (Dhania) Leaves, Ghee, Salt",Other
Aubergine Layered Baked Corn Cheese Quinoa Pasta Recipe,"Brinjal (Baingan / Eggplant), Sweet corn, Mozzarella cheese, Durum Wheat Penne Pasta, Homemade tomato puree, Dried oregano, Red Chilli flakes, Basil leaves, Parsley leaves, Milk, Corn flour, Black pepper powder, Extra Virgin Olive Oil, Salt, Garlic",Italian
Tandoori Chicken Curry Recipe,"Chicken, Oil, Tomatoes, Onion, Green Chillies, Ginger Garlic Paste, Coriander (Dhania) Leaves, Curd (Dahi / Yogurt), Fresh cream, Water, Salt, Cloves (Laung), Whole Black Peppercorns, Bay leaves (tej patta), Cinnamon Stick (Dalchini), Fennel seeds (Saunf), Kasuri Methi (Dried Fenugreek Leaves), Kashmiri Red Chilli Powder, Turmeric powder (Haldi), Tandoori masala, Onion powder",Indian
Spicy Eggplant & Capsicum Curry (Indo-Chinese Fusion Recipe),"Brinjal (Baingan / Eggplant), Green Bell Pepper (Capsicum), Broccoli, Sesame (Gingelly) Oil, Garlic, Onion, Soy sauce, Red Chilli sauce, Corn flour, Homemade Hoisin Sauce, Chilli vinegar, Water, Salt, Coriander (Dhania) Leaves, Roasted Peanuts (Moongphali)",Indian
Sweet & Spicy Vegetable Hong Kong Style Recipe,"Carrot (Gajjar), Green beans (French Beans), Tofu, Red Bell pepper (Capsicum), Green Bell Pepper (Capsicum), Ginger, Garlic, Dry Red Chillies, Soy sauce, Chilli vinegar, Red Chilli sauce, Sugar, Vegetable stock, Corn flour, Oil, Salt and Pepper",Other
Rajasthani Style Sukhe Gatte Capsicum Ki Sabzi Recipe,"Gram flour (besan), Ajwain (Carom seeds), Red Chilli powder, Curd (Dahi / Yogurt), Oil, Salt, Green Bell Pepper (Capsicum), Cumin seeds (Jeera), Asafoetida (hing), Turmeric powder (Haldi), Red Chilli powder, Garam masala powder, Amchur (Dry Mango Powder), Coriander Powder (Dhania), Coriander Powder (Dhania), Salt, Coriander (Dhania) Leaves, Oil",Other
Green Spinach & Oats Cutlet Recipe,"Instant Oats (Oatmeal), Green peas (Matar), Spinach, Green Chilli, Coriander (Dhania) Leaves, Ginger, Salt, Whole Black Peppercorns, Dried oregano, Lemon, Oil",Other
Diabetic Friendly Green Moong Dal/ Mung Beans Soup Recipe,"Green Moong Dal (Whole), Green Chilli, Cumin seeds (Jeera), Asafoetida (hing), Whole Black Peppercorns, Lemon juice, Salt, Oil",Indian
Assamese Style Walking Catfish In Curry Leaf Gravy Recipe,"Walking Catfish, Garlic, Green Chillies, Turmeric powder (Haldi), Mustard oil, Salt, Black pepper powder, Curry leaves, Hot water",Indian
Mutton Dum Biryani Recipe,"Onions, Ginger, Garlic, Green Chillies, Bay leaves (tej patta), Cardamom (Elaichi) Pods/Seeds, Cinnamon Stick (Dalchini), Cloves (Laung), Basmati rice, Salt, Mutton, Hung Curd (Greek Yogurt), Ginger Garlic Paste, Red Chilli powder, Turmeric powder (Haldi), Garam masala powder, Salt, Bay leaves (tej patta), Cinnamon Stick (Dalchini), Cloves (Laung), Mace (Javitri), Dagad phool (/pathar phool/black stone flower), Red Chilli powder, Garam masala powder, Tomatoes, Mint Leaves (Pudina), Salt, Milk, Saffron strands, Oil, Ghee, Whole Wheat Flour",Indian
Jerk Chicken With Rice And Peas Pilaf Recipe,"Chicken, Oil, Barbeque sauce, Spring Onion (Bulb & Greens), Lemon juice, Basmati rice, Green peas (Matar), Coconut milk, Spring Onion (Bulb & Greens), Fresh Thyme leaves, Garlic, Bay leaf (tej patta), All spice powder",Other
Palak Makhana Recipe (Navratri Fasting/Vrat Recipe),"Spinach Leaves (Palak), Tomatoes, Phool Makhana (Lotus Seeds), Cumin seeds (Jeera), Garam masala powder, Red Chilli powder, Turmeric powder (Haldi), Cinnamon Stick (Dalchini), Milk, Ghee, Salt",Other
Tangy Tomato Pie Tart Recipe,"Tomato, Garlic, Cheese, Mixed Herbs (Dried), Red Chilli flakes, Extra Virgin Olive Oil, Salt, All Purpose Flour (Maida), Butter (Salted), Salt, Sugar, Chilled water",Other
Grilled Vegetarian Moussaka Recipe With Soy Granules,"Brinjal (Baingan / Eggplant), Green zucchini, Salt and Pepper, Extra Virgin Olive Oil, Mixed Herbs (Dried), Butter (Salted), Milk, All Purpose Flour (Maida), Cheese spread, Nutmeg powder, Salt and Pepper, Extra Virgin Olive Oil, Garlic, Onions, Cinnamon Powder (Dalchini), Soy granules, Onion, Dried oregano, Salt and Pepper, Homemade tomato puree, Sugar, Basil leaves, Cheese",Other
Coriander Murgh Makhani Recipe,"Chicken drumstick, Potatoes (Aloo), Cardamom (Elaichi) Pods/Seeds, Cinnamon Stick (Dalchini), Cumin seeds (Jeera), Onion, Turmeric powder (Haldi), Lemon juice, Garam masala powder, Amchur (Dry Mango Powder), Curd (Dahi / Yogurt), Salt, Onions, Tomato, Coriander (Dhania) Leaves, Ginger, Garlic, Green Chilli",Other
Penne Rigate With Minced Chicken Sauce & Cheese Recipe,"Durum Wheat Penne Pasta, Homemade tomato puree, Onion, Garlic, Chicken, Dried basil leaves, Italian seasoning, Red Chilli flakes, Extra Virgin Olive Oil, Parmesan cheese, Salt",Other
Coorg Koli Curry Recipe - Coorgi Chicken Curry ,"Chicken, Red Chilli powder, Turmeric powder (Haldi), Coriander (Dhania) Seeds, Cumin seeds (Jeera), Cinnamon Stick (Dalchini), Cloves (Laung), Poppy seeds, Garlic, Ginger, Green Chillies, Salt, Oil, Onion, Fresh coconut, Tamarind Paste, Coriander (Dhania) Leaves",Indian
Penne Pasta Recipe In Roasted Carrot Sauce & Olives,"Durum Wheat Penne Pasta, Tomato, Carrots (Gajjar), Garlic, Extra Virgin Olive Oil, Salt, Red Chilli powder, Red Chilli flakes, Dried oregano, Parmesan cheese, Black olives",Italian
Chana Dal Pulao Recipe,"Basmati rice, Chana dal (Bengal Gram Dal), Onions, Tomatoes, Dry Red Chillies, Green Chillies, Garam masala powder, Turmeric powder (Haldi), Lemon juice, Cumin seeds (Jeera), Oil, Salt",Indian
Watermelon Panzanella Salad Recipe,"Baguette, Garlic powder, Extra Virgin Olive Oil, Watermelon, Cucumber, Red onion, Spinach, Balsamic Vinegar, Black olives, Salt and Pepper",Other
Kela Matar ki Sabzi Recipe - Raw Banana Green Peas Stir Fry,"Raw Banana, Green peas (Matar), Cumin seeds (Jeera), Green Chilli, Turmeric powder (Haldi), Coriander Powder (Dhania), Cumin powder (Jeera), Amchur (Dry Mango Powder), Lemon, Garam masala powder, Oil, Coriander (Dhania) Leaves, Salt",Asian
Cheesy Chinese Banana Toffee Fritters Recipe,"All Purpose Flour (Maida), Rice flour, Corn flour, Cheddar cheese, Ripe Bananas, Oil, Sugar, Sesame seeds (Til seeds), Chilled water",Other
Thai Raw Papaya Salad Recipe With Lemon Peanut & Honey Dressing,"Raw papaya, Roasted Peanuts (Moongphali), Anardana Powder (Pomegranate Seed Powder), Coriander (Dhania) Leaves, Fresh Red chillies, Green Chilli, Lemons, Honey, Salt",Other
Kelyachi Bhaji Recipe (Raw Banana Stir Fry),"Raw Banana, Onion, Fresh coconut, Turmeric powder (Haldi), Red Chilli powder, Asafoetida (hing), Salt, Oil",Asian
Gajar Methi Sabzi Recipe (Carrot Fenugreek Leaves Stir Fry),"Carrots (Gajjar), Methi Leaves (Fenugreek Leaves), Onion, Cumin seeds (Jeera), Asafoetida (hing), Red Chilli powder, Coriander Powder (Dhania), Turmeric powder (Haldi), Amchur (Dry Mango Powder), Salt, Oil",Asian
Sprouted Mung Bean and Spinach Soup Recipe,"Green Moong Sprouts, Spinach Leaves (Palak), Onion, Tomato, Ginger, Garlic, Cumin powder (Jeera), Red Chilli powder, Salt and Pepper, Oil, Lime Wedges, Coriander (Dhania) Leaves",Other
Tomato Kurma Recipe - Thakkali Kurma For Biryani & Parotta,"Onions, Tomatoes, Cinnamon Stick (Dalchini), Cumin Seeds (Jeera), Star Anise, Sambar Powder, Salt, Ghee, Roasted Gram Dal (Pottukadalai), Fresh Coconut, Green Chillies, Fennel Seeds (Saunf), Water",Indian
Egyptian Koshari Recipe,"Whole Black Peppercorns, Cardamom Powder (Elaichi), Paprika powder, Cumin seeds (Jeera), Coriander (Dhania) Seeds, Cloves (Laung), Cinnamon Stick (Dalchini), Nutmeg, Rice, Masoor Dal (Whole), Macaroni pasta, Onions, Garlic, Vegetable stock, Cumin seeds (Jeera), Bay leaves (tej patta), Salt, Extra Virgin Olive Oil, Onion, Garlic, Tomatoes, Red Wine Vinaigrette, Red Chilli flakes, Salt and Pepper, Extra Virgin Olive Oil, Onion, Kabuli Chana (White Chickpeas)",Other
Satsaagi Recipe - Sindhi Seven Vegetable Sabzi No Onion No Garlic,"Carrot (Gajjar), Green beans (French Beans), Colocasia root (Arbi), Green peas (Matar), Potatoes (Aloo), Bottle gourd (lauki), Green Bell Pepper (Capsicum), Oil, Ghee, Cumin seeds (Jeera), Asafoetida (hing), Green Chillies, Ginger, Turmeric powder (Haldi), Red Chilli powder, Cumin powder (Jeera), Amchur (Dry Mango Powder), Garam masala powder, Coriander (Dhania) Leaves, Homemade tomato puree, Coriander (Dhania) Leaves, Mint Leaves (Pudina)",Other
"Fattoush With Za'atar, Sumac and Pomegranate Molasses Recipe - Traditional Lebanese Salad","Red Radish, Tomatoes, Cherry tomatoes, Cucumber, Mooli/ Mullangi (Radish), Spring Onion Bulbs, Spring Onion Greens, Parsley leaves, Salad leaves, Mint Leaves (Pudina), Fresh Pomegranate Fruit Kernels, Lemon juice, Extra Virgin Olive Oil, Sumac, White Wine vinegar, Water, Garlic, Extra Virgin Olive Oil, Pomegranate juice, Sugar, Mini Pita Breads, Sumac",Other
Chinese Fried Rice Recipe With Chicken And Shredded Lettuce,"Cooked rice, Iceberg lettuce, Boneless chicken, Soy sauce, Black pepper powder, Oil, Salt",Other
Senai Kizhangu Poriyal Recipe-Yam Poriyal Recipe,"Elephant yam (Suran/Senai/Ratalu), Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Dry Red Chillies, Asafoetida (hing), Curry leaves, Turmeric powder (Haldi), Coconut Oil, Chana dal (Bengal Gram Dal), White Urad Dal (Split), Coriander (Dhania) Seeds, Dry Red Chillies, Tamarind",Other
Uttarkhand Style Mixed Bhaddu Dal Recipe,"Rajma (Large Kidney Beans), White Urad Dal (Split), Oil, Ginger Garlic Paste, Cardamom (Elaichi) Pods/Seeds, Bay leaf (tej patta), Whole Black Peppercorns, Cloves (Laung), Cinnamon Stick (Dalchini), Coriander (Dhania) Seeds, Homemade tomato puree, Cumin seeds (Jeera), Fresh cream, Salt",Indian
